0.458,  1.739,  0.492,  0.499,  0.000,  1.905,  0.790,  1.000,  -3.202,  -3.240, 
 0.466,  1.418,  0.395,  0.378,  0.324,  2.912,  0.833,  0.000,  -4.503,  -4.097, 
 0.524,  1.500,  0.359,  0.496,  0.000,  2.928,  0.767,  1.000,  -5.511,  -3.845, 
 0.512,  1.642,  0.446,  0.493,  0.685,  2.385,  0.817,  0.000,  -4.083,  -3.562, 
 0.283,  1.019,  0.277,  0.650,  0.000,  3.424,  0.750,  1.000,  -4.613,  -1.252, 
 0.902,  1.000,  0.499,  0.491,  0.000,  11.331,  0.167,  1.000,  -5.623,  -6.323, 
 0.567,  1.932,  0.506,  0.488,  0.000,  1.910,  0.950,  1.000,  -3.826,  -4.020, 
 0.342,  1.009,  0.490,  0.340,  0.000,  4.214,  0.767,  1.000,  -2.389,  -4.007, 
 0.421,  1.725,  0.488,  0.488,  0.968,  1.779,  0.672,  0.000,  -2.907,  -2.971, 
 0.386,  1.090,  0.717,  0.430,  0.000,  4.082,  0.459,  1.000,  -1.268,  -3.583, 
 0.439,  1.750,  0.494,  0.533,  0.000,  1.802,  0.639,  1.000,  -3.018,  -2.720, 
 0.395,  1.755,  0.560,  0.501,  0.000,  1.610,  0.672,  1.000,  -2.115,  -2.754, 
 0.475,  1.980,  0.450,  0.503,  0.433,  1.522,  0.656,  0.000,  -3.702,  -3.348, 
 0.491,  2.010,  0.471,  0.492,  0.649,  1.529,  0.656,  -1.000,  -3.563,  -3.506, 
 0.481,  1.960,  0.499,  0.485,  0.425,  1.573,  0.656,  0.000,  -3.150,  -3.290, 
 0.373,  1.441,  0.519,  0.499,  0.288,  2.257,  0.700,  0.000,  -2.036,  -2.328, 
 0.416,  1.772,  0.478,  0.486,  0.000,  1.665,  0.683,  1.000,  -3.033,  -3.227, 
 0.282,  1.225,  0.513,  0.363,  0.000,  2.357,  0.700,  1.000,  -1.999,  -2.962, 

